Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS6.2FL.24.2,Child_6,Nonconverter,2FL,24,2,20210125_ex23_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.24.3,Child_6,Nonconverter,2FL,24,3,20210125_ex24_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.36.1,Child_6,Nonconverter,2FL,36,1,20210125_ex31_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.36.2,Child_6,Nonconverter,2FL,36,2,20210125_ex32_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.36.3,Child_6,Nonconverter,2FL,36,3,20210125_ex33_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.48.1,Child_6,Nonconverter,2FL,48,1,20210125_ex40_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.48.2,Child_6,Nonconverter,2FL,48,2,20210125_ex41_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.48.3,Child_6,Nonconverter,2FL,48,3,20210125_ex42_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.60.1,Child_6,Nonconverter,2FL,60,1,20210125_ex49_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.60.2,Child_6,Nonconverter,2FL,60,2,20210125_ex50_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.60.3,Child_6,Nonconverter,2FL,60,3,20210125_ex51_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.0.1,Child_6,Nonconverter,No Treatment,0,1,20210125_ex1_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.0.2,Child_6,Nonconverter,No Treatment,0,2,20210125_ex2_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.0.3,Child_6,Nonconverter,No Treatment,0,3,20210125_ex3_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.12.1,Child_6,Nonconverter,No Treatment,12,1,20210125_ex10_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.12.2,Child_6,Nonconverter,No Treatment,12,2,20210125_ex11_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.12.3,Child_6,Nonconverter,No Treatment,12,3,20210125_ex12_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.24.1,Child_6,Nonconverter,No Treatment,24,1,20210125_ex19_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.24.2,Child_6,Nonconverter,No Treatment,24,2,20210125_ex20_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.24.3,Child_6,Nonconverter,No Treatment,24,3,20210125_ex21_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.1,Child_6,Nonconverter,No Treatment,36,1,20210125_ex28_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.2,Child_6,Nonconverter,No Treatment,36,2,20210125_ex29_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.36.3,Child_6,Nonconverter,No Treatment,36,3,20210125_ex30_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.1,Child_6,Nonconverter,No Treatment,48,1,20210125_ex37_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.2,Child_6,Nonconverter,No Treatment,48,2,20210125_ex38_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.48.3,Child_6,Nonconverter,No Treatment,48,3,20210125_ex39_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.1,Child_6,Nonconverter,No Treatment,60,1,20210125_ex46_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.2,Child_6,Nonconverter,No Treatment,60,2,20210125_ex47_p1.cnx,,,,,,,,,p1.cnx
NS6.Con.60.3,Child_6,Nonconverter,No Treatment,60,3,20210125_ex48_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.0.1,Child_6,Nonconverter,pHMOs,0,1,20210125_ex7_p1.cnx,,,,,,,,,p1.cnx
